AIImpactKey,AI_Impact_Level,AI_Exposure_Level,Automation_Risk_Percentage,Task_Automation_Rate,ProductivityKey,Labor_Cost_Savings_per_Role_USD,New_Tasks_Created_Pct,Tasks_Eliminated_Pct,Quality_Improvement_Pct,Decision_Support_Index,Creativity_Enhancement_Score
1,Partial Automation,Medium,0.65,0.25,27,36144,0.3,0.4,0.02,7.3,9.9
2,High Augmentation,Low,0.87,0.13,47,32200,0.02,0.4,0.07,2.7,5.5
3,High Automation,Very High,0.38,0.29,34,3832,0.3,0.07,0.18,1.9,9.2
4,Partial Automation,High,0.2,0.0,19,24155,0.29,0.25,0.01,5.4,9.7
5,High Augmentation,Very High,0.2,0.92,35,26410,0.17,0.45,0.19,2.5,4.9
6,High Augmentation,Low,0.77,0.2,33,38946,0.15,0.51,0.07,9.3,4.3
7,High Automation,Medium,0.44,0.92,33,4290,0.32,0.09,0.28,5.8,5.6
8,High Automation,Medium,0.07,0.41,17,1443,0.08,0.26,0.14,2.9,4.9
9,High Automation,High,0.43,0.19,29,17851,0.02,0.06,0.03,8.1,5.1
10,High Automation,Very High,0.22,0.63,45,16509,0.18,0.46,0.3,9.5,8.0
11,Low Augmentation,Medium,0.84,0.71,20,29487,0.23,0.15,0.15,5.0,3.6
12,Partial Automation,Very High,0.42,0.66,36,41645,0.19,0.09,0.25,4.9,1.7
13,Low Augmentation,Very High,0.63,0.58,40,33430,0.31,0.14,0.23,5.9,6.3
14,Partial Automation,Medium,0.81,0.7,29,6063,0.21,0.29,0.16,6.4,7.0
15,Low Augmentation,High,0.05,0.74,35,12179,0.23,0.25,0.2,3.8,4.9
16,High Automation,Very High,0.3,0.8,50,6089,0.06,0.35,0.19,4.4,8.7
17,Low Augmentation,High,0.18,0.6,15,10558,0.08,0.04,0.05,6.8,6.3
18,High Automation,Medium,0.79,0.56,10,35607,0.0,0.51,0.16,9.7,8.4
19,Low Augmentation,Medium,0.26,0.13,10,3838,0.39,0.26,0.19,4.7,1.4
20,Partial Automation,Low,0.8,0.92,7,35399,0.32,0.04,0.29,6.3,7.1
21,High Automation,Medium,0.57,0.14,1,38493,0.19,0.48,0.11,1.4,9.7
22,High Augmentation,High,0.1,0.32,48,17858,0.1,0.5,0.17,2.2,7.3
23,Low Augmentation,Low,0.25,0.14,22,21087,0.24,0.36,0.15,7.7,5.5
24,High Automation,High,0.99,0.1,4,40502,0.17,0.48,0.14,1.9,5.5
25,High Augmentation,Low,0.81,0.79,2,14833,0.15,0.52,0.09,5.0,3.3
26,Low Augmentation,Low,0.96,0.66,49,31518,0.31,0.32,0.21,8.2,3.1
27,Partial Automation,High,0.4,0.56,41,32595,0.35,0.19,0.11,7.7,2.9
28,Low Augmentation,High,0.84,0.28,41,42200,0.37,0.09,0.05,5.5,3.1
29,Low Augmentation,Low,0.51,0.42,6,5393,0.18,0.33,0.0,7.7,8.4
30,Partial Automation,High,0.84,0.53,2,17009,0.08,0.03,0.18,3.2,9.9
31,High Automation,Low,0.44,0.66,10,15538,0.16,0.27,0.21,8.8,2.0
32,Partial Automation,High,0.47,0.11,50,49230,0.23,0.15,0.19,3.1,4.2
33,High Augmentation,High,0.06,0.26,40,4095,0.35,0.27,0.08,3.8,9.5
34,Partial Automation,High,0.55,0.71,29,27355,0.4,0.55,0.18,7.7,6.0
35,High Augmentation,Low,0.98,0.16,36,36850,0.1,0.11,0.13,1.1,5.9
36,Low Augmentation,Very High,0.83,0.75,17,7636,0.38,0.02,0.25,9.2,3.8
37,Low Augmentation,Low,0.32,0.42,41,10030,0.11,0.29,0.05,9.0,9.4
38,High Automation,Low,0.43,0.43,6,21520,0.36,0.31,0.1,3.4,8.4
39,Partial Automation,High,0.74,0.68,23,35784,0.07,0.49,0.1,5.6,5.2
40,Low Augmentation,Medium,0.26,0.99,7,46551,0.2,0.11,0.15,5.3,8.0
41,Partial Automation,Medium,0.95,0.8,8,15120,0.14,0.47,0.03,1.4,2.5
42,High Automation,High,0.1,0.86,16,45698,0.05,0.45,0.0,7.7,4.0
43,High Augmentation,High,0.24,0.18,30,27070,0.36,0.01,0.16,9.8,6.6
44,High Automation,Very High,0.38,0.43,26,10411,0.05,0.45,0.29,9.5,6.0
45,High Automation,High,0.95,0.93,48,13937,0.29,0.6,0.21,8.3,5.5
46,Partial Automation,Medium,0.08,0.42,29,22279,0.04,0.37,0.13,7.1,3.5
47,High Augmentation,High,0.22,0.56,33,14318,0.27,0.36,0.2,9.8,8.1
48,High Augmentation,Medium,0.34,0.49,33,21082,0.24,0.39,0.07,5.5,2.0
49,High Augmentation,Medium,0.47,0.84,6,22801,0.29,0.54,0.08,5.5,3.5
50,High Augmentation,Low,0.36,0.1,28,12626,0.38,0.46,0.24,8.9,1.7
