CompanyKey,CompanyName,CompanySize,Primary_Industry,Headquarters_LocationKey,Stock_Ticker,Website_URL,AI_Maturity_Level,Annual_Revenue_USD,Employee_Count,Founding_Year,Is_Public
1,Company 1 Inc.,201-500,Transportation,590,BAA,http://www.company1.com,Exploiter,76006173338,106801,1968,False
2,Company 2 Inc.,501-1000,Manufacturing,811,CAA,http://www.company2.com,Exploiter,8336828045,23135,1979,True
3,Company 3 Inc.,201-500,Healthcare,793,DAA,http://www.company3.com,Exploiter,17834785623,12069,1988,True
4,Company 4 Inc.,501-1000,Media,743,EAA,http://www.company4.com,Leader,41399739341,84930,1977,False
5,Company 5 Inc.,1-50,Retail,614,FAA,http://www.company5.com,Exploiter,99993962437,160477,1951,False
6,Company 6 Inc.,"10,001+",Technology,180,GAA,http://www.company6.com,Exploiter,4827228582,84872,1968,True
7,Company 7 Inc.,"5001-10,000",Manufacturing,565,HAA,http://www.company7.com,Explorer,40265729092,107845,1994,False
8,Company 8 Inc.,1001-5000,Healthcare,239,IAA,http://www.company8.com,Exploiter,1544528535,68197,1955,True
9,Company 9 Inc.,201-500,Healthcare,121,JAA,http://www.company9.com,Exploiter,45743181490,22584,2004,True
10,Company 10 Inc.,51-200,Technology,216,KAA,http://www.company10.com,Exploiter,26324825641,8608,2010,True
11,Company 11 Inc.,1001-5000,Education,898,LAA,http://www.company11.com,Exploiter,61675921992,184437,1963,False
12,Company 12 Inc.,1001-5000,Retail,115,MAA,http://www.company12.com,Leader,99796950433,90458,1978,True
13,Company 13 Inc.,"10,001+",Transportation,834,NAA,http://www.company13.com,Explorer,56682509453,135757,1988,True
14,Company 14 Inc.,51-200,Transportation,467,OAA,http://www.company14.com,Explorer,44737676769,95867,2013,True
15,Company 15 Inc.,201-500,Transportation,872,PAA,http://www.company15.com,Leader,97001084711,78017,2012,True
16,Company 16 Inc.,1-50,Transportation,357,QAA,http://www.company16.com,Leader,34770682742,47030,1979,False
17,Company 17 Inc.,1001-5000,Healthcare,115,RAA,http://www.company17.com,Exploiter,80392251249,3144,1960,True
18,Company 18 Inc.,1001-5000,Healthcare,415,SAA,http://www.company18.com,Explorer,5469471680,15263,2001,False
19,Company 19 Inc.,1-50,Technology,88,TAA,http://www.company19.com,Exploiter,5299539234,185728,1955,False
20,Company 20 Inc.,51-200,Healthcare,382,UAA,http://www.company20.com,Explorer,26332323185,74297,1983,False
21,Company 21 Inc.,51-200,Finance,441,VAA,http://www.company21.com,Explorer,30417650046,34108,1980,False
22,Company 22 Inc.,501-1000,Technology,844,WAA,http://www.company22.com,Exploiter,82190170761,184761,1997,False
23,Company 23 Inc.,201-500,Retail,352,XAA,http://www.company23.com,Exploiter,40060901274,190299,1991,False
24,Company 24 Inc.,1-50,Healthcare,256,YAA,http://www.company24.com,Exploiter,79623288918,53909,2012,False
25,Company 25 Inc.,"5001-10,000",Finance,122,ZAA,http://www.company25.com,Exploiter,77415962486,121983,1984,True
26,Company 26 Inc.,51-200,Technology,279,ABA,http://www.company26.com,Exploiter,8803791902,179944,1999,False
27,Company 27 Inc.,1001-5000,Technology,904,BBA,http://www.company27.com,Explorer,68737736808,7508,1950,True
28,Company 28 Inc.,501-1000,Education,536,CBA,http://www.company28.com,Explorer,61198800355,72234,2000,True
29,Company 29 Inc.,1001-5000,Retail,268,DBA,http://www.company29.com,Leader,56656961641,12932,2017,False
30,Company 30 Inc.,"10,001+",Education,100,EBA,http://www.company30.com,Leader,54659654047,135559,2007,True
31,Company 31 Inc.,"10,001+",Healthcare,498,FBA,http://www.company31.com,Leader,55695521251,41161,2016,True
32,Company 32 Inc.,"10,001+",Education,143,GBA,http://www.company32.com,Explorer,45012615404,112136,2002,False
33,Company 33 Inc.,51-200,Manufacturing,821,HBA,http://www.company33.com,Explorer,30664201029,138620,2001,False
34,Company 34 Inc.,"5001-10,000",Transportation,270,IBA,http://www.company34.com,Exploiter,54725508481,6839,2019,False
35,Company 35 Inc.,501-1000,Transportation,644,JBA,http://www.company35.com,Exploiter,7768637741,179418,1990,True
36,Company 36 Inc.,"10,001+",Manufacturing,897,KBA,http://www.company36.com,Leader,66963587848,133539,1951,True
37,Company 37 Inc.,501-1000,Manufacturing,956,LBA,http://www.company37.com,Exploiter,55051381531,67731,1950,False
38,Company 38 Inc.,51-200,Education,902,MBA,http://www.company38.com,Exploiter,47028644256,188439,1984,False
39,Company 39 Inc.,"10,001+",Transportation,150,NBA,http://www.company39.com,Exploiter,90392121375,92431,1977,False
40,Company 40 Inc.,1001-5000,Technology,753,OBA,http://www.company40.com,Leader,7234474717,61625,1959,True
41,Company 41 Inc.,"5001-10,000",Finance,248,PBA,http://www.company41.com,Exploiter,10297776366,113444,2013,False
42,Company 42 Inc.,501-1000,Finance,218,QBA,http://www.company42.com,Explorer,70340609224,102447,1988,True
43,Company 43 Inc.,201-500,Retail,434,RBA,http://www.company43.com,Explorer,67688070300,29677,1954,False
44,Company 44 Inc.,"10,001+",Education,15,SBA,http://www.company44.com,Leader,85732008373,41679,1999,False
45,Company 45 Inc.,51-200,Transportation,287,TBA,http://www.company45.com,Leader,26366614226,78425,1977,True
46,Company 46 Inc.,1001-5000,Media,821,UBA,http://www.company46.com,Leader,29618749942,177010,1959,True
47,Company 47 Inc.,501-1000,Retail,650,VBA,http://www.company47.com,Exploiter,97182047503,139552,2004,True
48,Company 48 Inc.,201-500,Retail,857,WBA,http://www.company48.com,Exploiter,76686680728,19912,1969,False
49,Company 49 Inc.,1001-5000,Healthcare,238,XBA,http://www.company49.com,Exploiter,34778516009,131472,1977,False
50,Company 50 Inc.,1-50,Retail,414,YBA,http://www.company50.com,Exploiter,63489054031,85946,2011,True
51,Company 51 Inc.,51-200,Finance,313,ZBA,http://www.company51.com,Leader,53741092426,156092,1975,False
52,Company 52 Inc.,1001-5000,Transportation,768,ACA,http://www.company52.com,Explorer,10372749706,54542,2004,True
