DateKey,FullDate,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter,WeekOfYear
1,2020-01-01,2020,Q1,1,January,1,Wednesday,False,2020,Q1,1
2,2020-01-02,2020,Q1,1,January,2,Thursday,False,2020,Q1,1
3,2020-01-03,2020,Q1,1,January,3,Friday,False,2020,Q1,1
4,2020-01-04,2020,Q1,1,January,4,Saturday,True,2020,Q1,1
5,2020-01-05,2020,Q1,1,January,5,Sunday,True,2020,Q1,1
6,2020-01-06,2020,Q1,1,January,6,Monday,False,2020,Q1,2
7,2020-01-07,2020,Q1,1,January,7,Tuesday,False,2020,Q1,2
8,2020-01-08,2020,Q1,1,January,8,Wednesday,False,2020,Q1,2
9,2020-01-09,2020,Q1,1,January,9,Thursday,False,2020,Q1,2
10,2020-01-10,2020,Q1,1,January,10,Friday,False,2020,Q1,2
11,2020-01-11,2020,Q1,1,January,11,Saturday,True,2020,Q1,2
12,2020-01-12,2020,Q1,1,January,12,Sunday,True,2020,Q1,2
13,2020-01-13,2020,Q1,1,January,13,Monday,False,2020,Q1,3
14,2020-01-14,2020,Q1,1,January,14,Tuesday,False,2020,Q1,3
15,2020-01-15,2020,Q1,1,January,15,Wednesday,False,2020,Q1,3
16,2020-01-16,2020,Q1,1,January,16,Thursday,False,2020,Q1,3
17,2020-01-17,2020,Q1,1,January,17,Friday,False,2020,Q1,3
18,2020-01-18,2020,Q1,1,January,18,Saturday,True,2020,Q1,3
19,2020-01-19,2020,Q1,1,January,19,Sunday,True,2020,Q1,3
20,2020-01-20,2020,Q1,1,January,20,Monday,False,2020,Q1,4
21,2020-01-21,2020,Q1,1,January,21,Tuesday,False,2020,Q1,4
22,2020-01-22,2020,Q1,1,January,22,Wednesday,False,2020,Q1,4
23,2020-01-23,2020,Q1,1,January,23,Thursday,False,2020,Q1,4
24,2020-01-24,2020,Q1,1,January,24,Friday,False,2020,Q1,4
25,2020-01-25,2020,Q1,1,January,25,Saturday,True,2020,Q1,4
26,2020-01-26,2020,Q1,1,January,26,Sunday,True,2020,Q1,4
27,2020-01-27,2020,Q1,1,January,27,Monday,False,2020,Q1,5
28,2020-01-28,2020,Q1,1,January,28,Tuesday,False,2020,Q1,5
29,2020-01-29,2020,Q1,1,January,29,Wednesday,False,2020,Q1,5
30,2020-01-30,2020,Q1,1,January,30,Thursday,False,2020,Q1,5
31,2020-01-31,2020,Q1,1,January,31,Friday,False,2020,Q1,5
32,2020-02-01,2020,Q1,2,February,1,Saturday,True,2020,Q1,5
33,2020-02-02,2020,Q1,2,February,2,Sunday,True,2020,Q1,5
