ExperienceKey,Experience_Level,Experience_Required_Years_Min,Experience_Required_Years_Max,Management_Level,Training_Required,Role_Transition_Success_Rate_Pct,Avg_Time_To_Promotion_Years,Common_Cert_1,Common_Cert_2,Education_Level_Required,Internal_Mobility_Score
1,Entry,1,8,VP,On-the-job,0.71,3.8,PMP,Google Cloud,Master's,5.8
2,Principal,3,10,VP,Certification,0.3,4.6,CPA,Google Cloud,Bachelor's,2.5
3,Senior,2,7,Manager,On-the-job,0.36,5.5,PMP,None,Bachelor's,1.7
4,Entry,0,19,Manager,On-the-job,0.68,4.5,None,None,Bachelor's,9.2
5,Senior,2,17,VP,Certification,0.61,6.8,None,None,Master's,9.6
6,Lead,7,19,VP,Certification,0.53,6.6,CPA,CFA,High School,2.8
7,Executive,0,5,Individual Contributor,Degree,0.41,3.8,None,CFA,PhD,8.5
8,Executive,3,11,Individual Contributor,Certification,0.83,6.5,CPA,Scrum Master,Bachelor's,5.0
9,Principal,8,17,VP,Certification,0.52,5.8,None,CFA,Bachelor's,1.0
10,Executive,1,12,VP,Certification,0.31,4.7,None,CFA,High School,2.8
11,Principal,2,8,VP,On-the-job,0.53,5.4,AWS Certified,Scrum Master,High School,4.9
12,Senior,9,17,Director,Degree,0.31,5.2,AWS Certified,None,PhD,9.1
13,Senior,0,12,Individual Contributor,On-the-job,0.4,4.1,PMP,Scrum Master,Master's,8.7
14,Lead,2,17,VP,Degree,0.56,4.8,CPA,None,Master's,2.2
15,Executive,0,18,VP,Degree,0.51,1.7,CPA,CFA,Bachelor's,2.5
16,Principal,4,9,Director,On-the-job,0.83,3.7,AWS Certified,None,High School,1.2
17,Senior,8,7,Director,Certification,0.86,6.7,None,CFA,Bachelor's,9.5
18,Executive,6,15,Manager,Degree,0.9,2.5,CPA,Scrum Master,High School,3.3
19,Lead,8,15,Director,Certification,0.51,2.8,CPA,CFA,Bachelor's,4.8
20,Senior,7,15,VP,On-the-job,0.83,4.9,CPA,CFA,Bachelor's,6.4
21,Mid,5,14,Manager,Degree,0.47,4.3,PMP,Scrum Master,High School,3.5
22,Principal,4,17,Individual Contributor,On-the-job,0.51,3.8,AWS Certified,Google Cloud,Master's,5.3
23,Entry,1,12,Manager,Certification,0.63,1.8,None,None,High School,3.4
24,Mid,3,15,Director,Degree,0.76,6.8,PMP,Scrum Master,High School,9.5
25,Mid,2,14,Individual Contributor,On-the-job,0.35,2.8,PMP,CFA,Bachelor's,4.1
26,Lead,8,13,Individual Contributor,Certification,0.72,4.7,PMP,None,PhD,9.8
27,Entry,6,19,Director,On-the-job,0.5,6.5,None,CFA,High School,1.3
28,Mid,2,6,VP,Degree,0.67,3.9,AWS Certified,CFA,Bachelor's,7.1
29,Mid,2,10,VP,Degree,0.42,5.8,PMP,Scrum Master,Master's,7.2
30,Senior,3,14,Individual Contributor,On-the-job,0.67,2.2,None,CFA,High School,3.9
31,Entry,7,19,Director,On-the-job,0.65,2.3,AWS Certified,None,High School,1.7
32,Lead,5,13,Director,Certification,0.54,2.7,PMP,None,Bachelor's,8.1
33,Executive,5,9,Director,Certification,0.44,3.3,AWS Certified,Google Cloud,PhD,9.2
34,Senior,6,12,Manager,Certification,0.32,2.7,AWS Certified,CFA,Master's,7.5
35,Mid,8,5,VP,Certification,0.55,2.7,None,Scrum Master,Bachelor's,4.6
36,Entry,3,18,Individual Contributor,Degree,0.77,4.4,CPA,CFA,Bachelor's,2.9
37,Senior,6,15,Individual Contributor,Degree,0.72,5.9,CPA,None,Master's,5.0
38,Executive,8,6,Director,On-the-job,0.89,3.5,CPA,Scrum Master,Master's,5.9
39,Executive,4,6,Manager,Degree,0.44,4.7,CPA,Scrum Master,Master's,2.5
40,Principal,0,7,Manager,Certification,0.7,2.1,PMP,CFA,Master's,4.0
41,Lead,5,10,Individual Contributor,On-the-job,0.35,6.2,AWS Certified,Google Cloud,PhD,4.7
42,Principal,9,17,Manager,Certification,0.88,6.5,CPA,Google Cloud,Master's,4.4
43,Senior,5,6,VP,Degree,0.56,3.6,None,Google Cloud,Master's,5.9
44,Senior,1,8,Director,On-the-job,0.81,3.7,CPA,CFA,Bachelor's,4.2
45,Lead,8,14,Individual Contributor,Certification,0.62,4.9,None,None,Master's,9.5
46,Senior,7,8,Director,On-the-job,0.52,5.2,AWS Certified,Scrum Master,Bachelor's,4.2
47,Entry,1,18,Individual Contributor,Degree,0.47,2.3,CPA,None,PhD,8.8
48,Executive,1,5,Director,Degree,0.73,6.1,CPA,Google Cloud,High School,2.9
49,Executive,4,18,Director,On-the-job,0.45,1.8,AWS Certified,Google Cloud,Master's,1.9
50,Lead,3,7,VP,On-the-job,0.82,5.1,PMP,CFA,High School,2.6
