IndustryKey,IndustryName,Industry_Sector,AI_Adoption_Rate_Pct,Projected_Growth_Pct,Regulation_Level,Market_Size_USD,Key_Player_1,Key_Player_2,Key_Player_3,Digital_Transformation_Index,Industry_Description
1,Healthcare,Information,0.49,0.06,Medium,81754631251,Industry-1 LeaderCo,Industry-1 GrowthCo,Industry-1 StableCo,40.7,Description for industry 1
2,Retail,Manufacturing,0.78,0.084,Medium,7690510581,Industry-2 LeaderCo,Industry-2 GrowthCo,Industry-2 StableCo,51.5,Description for industry 2
3,Healthcare,Information,0.54,0.168,Medium,254670633408,Industry-3 LeaderCo,Industry-3 GrowthCo,Industry-3 StableCo,76.1,Description for industry 3
4,Manufacturing,Services,0.61,-0.024,High,231223653669,Industry-4 LeaderCo,Industry-4 GrowthCo,Industry-4 StableCo,51.2,Description for industry 4
5,Media,Government,0.47,0.056,Low,462110391151,Industry-5 LeaderCo,Industry-5 GrowthCo,Industry-5 StableCo,75.4,Description for industry 5
6,Finance,Services,0.55,0.12,Medium,48341034981,Industry-6 LeaderCo,Industry-6 GrowthCo,Industry-6 StableCo,58.4,Description for industry 6
7,Technology,Government,0.3,0.087,Low,399520627176,Industry-7 LeaderCo,Industry-7 GrowthCo,Industry-7 StableCo,46.8,Description for industry 7
8,Manufacturing,Services,0.89,-0.039,High,67079777430,Industry-8 LeaderCo,Industry-8 GrowthCo,Industry-8 StableCo,80.7,Description for industry 8
9,Healthcare,Manufacturing,0.36,-0.048,Low,71273567175,Industry-9 LeaderCo,Industry-9 GrowthCo,Industry-9 StableCo,83.2,Description for industry 9
10,Healthcare,Manufacturing,0.68,0.134,Low,404454154800,Industry-10 LeaderCo,Industry-10 GrowthCo,Industry-10 StableCo,40.8,Description for industry 10
11,Retail,Government,0.22,0.139,High,208780365575,Industry-11 LeaderCo,Industry-11 GrowthCo,Industry-11 StableCo,69.9,Description for industry 11
12,Transportation,Manufacturing,0.84,0.185,Medium,95284542151,Industry-12 LeaderCo,Industry-12 GrowthCo,Industry-12 StableCo,38.2,Description for industry 12
13,Retail,Manufacturing,0.5,0.156,Medium,42572010182,Industry-13 LeaderCo,Industry-13 GrowthCo,Industry-13 StableCo,94.0,Description for industry 13
14,Education,Government,0.83,0.194,Medium,261424260644,Industry-14 LeaderCo,Industry-14 GrowthCo,Industry-14 StableCo,30.6,Description for industry 14
15,Education,Services,0.2,0.185,Medium,157643363375,Industry-15 LeaderCo,Industry-15 GrowthCo,Industry-15 StableCo,76.2,Description for industry 15
16,Retail,Services,0.32,-0.005,High,205780290456,Industry-16 LeaderCo,Industry-16 GrowthCo,Industry-16 StableCo,79.3,Description for industry 16
17,Technology,Government,0.37,0.18,Low,274149932254,Industry-17 LeaderCo,Industry-17 GrowthCo,Industry-17 StableCo,47.3,Description for industry 17
18,Transportation,Information,0.88,-0.003,Medium,200914432685,Industry-18 LeaderCo,Industry-18 GrowthCo,Industry-18 StableCo,43.7,Description for industry 18
19,Education,Government,0.79,0.046,High,276984479570,Industry-19 LeaderCo,Industry-19 GrowthCo,Industry-19 StableCo,44.9,Description for industry 19
20,Education,Services,0.13,0.107,Low,99776782520,Industry-20 LeaderCo,Industry-20 GrowthCo,Industry-20 StableCo,76.8,Description for industry 20
21,Manufacturing,Government,0.75,-0.032,Low,172926191203,Industry-21 LeaderCo,Industry-21 GrowthCo,Industry-21 StableCo,58.9,Description for industry 21
22,Education,Services,0.48,0.08,Medium,312153971159,Industry-22 LeaderCo,Industry-22 GrowthCo,Industry-22 StableCo,43.6,Description for industry 22
23,Education,Services,0.31,-0.037,Low,497323802081,Industry-23 LeaderCo,Industry-23 GrowthCo,Industry-23 StableCo,42.3,Description for industry 23
24,Manufacturing,Information,0.6,0.092,High,477316566670,Industry-24 LeaderCo,Industry-24 GrowthCo,Industry-24 StableCo,75.6,Description for industry 24
25,Education,Services,0.77,0.032,Low,137710072144,Industry-25 LeaderCo,Industry-25 GrowthCo,Industry-25 StableCo,54.4,Description for industry 25
26,Technology,Services,0.46,-0.014,High,10196197044,Industry-26 LeaderCo,Industry-26 GrowthCo,Industry-26 StableCo,33.8,Description for industry 26
27,Manufacturing,Government,0.24,0.183,Low,31227779176,Industry-27 LeaderCo,Industry-27 GrowthCo,Industry-27 StableCo,72.5,Description for industry 27
28,Technology,Information,0.54,0.044,Medium,483931885858,Industry-28 LeaderCo,Industry-28 GrowthCo,Industry-28 StableCo,83.4,Description for industry 28
29,Transportation,Manufacturing,0.24,0.163,Medium,261025128882,Industry-29 LeaderCo,Industry-29 GrowthCo,Industry-29 StableCo,82.5,Description for industry 29
30,Manufacturing,Government,0.45,0.149,Medium,199497330447,Industry-30 LeaderCo,Industry-30 GrowthCo,Industry-30 StableCo,87.6,Description for industry 30
31,Transportation,Information,0.65,0.047,High,404934471721,Industry-31 LeaderCo,Industry-31 GrowthCo,Industry-31 StableCo,34.6,Description for industry 31
32,Media,Manufacturing,0.39,0.03,High,451537116183,Industry-32 LeaderCo,Industry-32 GrowthCo,Industry-32 StableCo,36.4,Description for industry 32
33,Transportation,Services,0.13,0.129,High,181387549327,Industry-33 LeaderCo,Industry-33 GrowthCo,Industry-33 StableCo,43.1,Description for industry 33
34,Technology,Manufacturing,0.71,0.111,Low,379300227068,Industry-34 LeaderCo,Industry-34 GrowthCo,Industry-34 StableCo,68.0,Description for industry 34
35,Media,Information,0.49,-0.001,Medium,441326999330,Industry-35 LeaderCo,Industry-35 GrowthCo,Industry-35 StableCo,62.2,Description for industry 35
36,Media,Services,0.55,0.079,High,356730732859,Industry-36 LeaderCo,Industry-36 GrowthCo,Industry-36 StableCo,81.2,Description for industry 36
37,Retail,Services,0.23,-0.023,Low,170321744090,Industry-37 LeaderCo,Industry-37 GrowthCo,Industry-37 StableCo,52.1,Description for industry 37
38,Technology,Information,0.74,0.135,Low,207011186012,Industry-38 LeaderCo,Industry-38 GrowthCo,Industry-38 StableCo,64.4,Description for industry 38
39,Retail,Government,0.67,0.193,Low,408192661788,Industry-39 LeaderCo,Industry-39 GrowthCo,Industry-39 StableCo,63.8,Description for industry 39
