JobKey,JobTitle,Occupation_Code,Job_Family,IndustryKey,ExperienceKey,AIImpactKey,WorkModeKey,SalaryAnalyticsKey,Job_Status,Description,Career_Path_Example
1,AI Specialist 1,45-8324,Finance,44,46,37,1,111,Emerging,Description for job 1,Specialist
2,Data Scientist 2,11-1916,Technology,68,7,36,3,145,Declining,Description for job 2,Management
3,Marketing Manager 3,76-2895,Technology,51,50,37,35,42,Stable,Description for job 3,Specialist
4,Graphic Designer 4,76-1469,Marketing,82,27,17,30,108,Stable,Description for job 4,Management
5,Nurse 5,37-1844,HR,83,9,8,43,198,Stable,Description for job 5,Management
6,Financial Analyst 6,71-5440,Marketing,67,32,37,32,19,Transforming,Description for job 6,Specialist
7,Software Engineer 7,13-3512,Finance,50,3,14,38,69,Emerging,Description for job 7,Senior Role
8,Graphic Designer 8,52-2281,Finance,22,8,5,18,104,Stable,Description for job 8,Specialist
9,Graphic Designer 9,89-5189,Finance,55,7,20,44,164,Stable,Description for job 9,Management
10,Accountant 10,75-3449,Finance,23,50,48,15,85,Stable,Description for job 10,Specialist
11,Truck Driver 11,82-6217,Marketing,36,9,46,44,53,Stable,Description for job 11,Senior Role
12,Data Scientist 12,42-1909,Finance,41,28,47,16,190,Transforming,Description for job 12,Senior Role
13,Data Scientist 13,33-8097,Sales,15,36,45,2,103,Stable,Description for job 13,Senior Role
14,Marketing Manager 14,25-7528,Operations,21,29,49,43,48,Transforming,Description for job 14,Specialist
15,AI Specialist 15,95-8286,HR,55,42,46,16,198,Emerging,Description for job 15,Specialist
16,Graphic Designer 16,58-7944,Technology,85,25,40,32,89,Declining,Description for job 16,Specialist
17,Data Scientist 17,82-6798,Marketing,9,4,27,16,178,Stable,Description for job 17,Management
18,Customer Service Rep 18,22-1104,Finance,45,10,45,24,192,Emerging,Description for job 18,Management
19,Customer Service Rep 19,83-4866,Technology,32,11,18,31,61,Transforming,Description for job 19,Senior Role
20,Truck Driver 20,76-6120,HR,73,40,42,9,180,Emerging,Description for job 20,Senior Role
