SalaryAnalyticsKey,Projected_Salary_Change_Pct,Salary_Quartile_25_USD,Salary_Quartile_75_USD,Avg_Bonus_Pct,Avg_Stock_Options_USD,Salary_Competitiveness_Index,Pay_Gap_Gender_Pct,Pay_Gap_Region_Pct,Last_Updated_DateKey,Data_Source,Notes
1,0.003,38722,111236,0.25,45333,1.15,0.049,0.011,2081,Glassdoor,Simulated salary analysis.
2,-0.009,33258,143128,0.07,27469,1.14,0.049,0.106,1699,Internal HR,Simulated salary analysis.
3,0.007,65089,92866,0.23,4586,0.98,0.107,0.191,365,Internal HR,Simulated salary analysis.
4,0.092,68880,146638,0.03,6138,1.03,0.072,0.143,2108,Payscale,Simulated salary analysis.
5,0.084,42477,123659,0.13,30069,0.88,0.034,0.058,2082,Glassdoor,Simulated salary analysis.
6,-0.011,34535,93223,0.07,21720,0.92,0.066,0.083,1080,Internal HR,Simulated salary analysis.
7,0.044,61939,116448,0.03,2821,0.96,0.123,0.161,1900,Glassdoor,Simulated salary analysis.
8,0.085,79933,184646,0.14,15583,1.01,0.017,0.116,79,Internal HR,Simulated salary analysis.
9,0.028,51825,120946,0.12,40168,0.99,0.049,0.02,254,Internal HR,Simulated salary analysis.
10,0.014,37130,189815,0.24,12619,1.15,0.141,0.165,749,Glassdoor,Simulated salary analysis.
11,-0.017,77705,143425,0.22,27518,0.91,0.042,0.073,1099,Glassdoor,Simulated salary analysis.
12,0.013,47169,114660,0.25,47786,1.08,0.015,0.054,904,Internal HR,Simulated salary analysis.
13,-0.001,47472,141841,0.03,15830,1.09,0.112,0.173,1811,Internal HR,Simulated salary analysis.
14,0.099,35099,163175,0.22,32003,0.92,0.044,0.184,984,Payscale,Simulated salary analysis.
15,0.099,59802,180449,0.06,41410,1.02,0.056,0.089,1060,Glassdoor,Simulated salary analysis.
16,0.038,65976,141431,0.22,34448,1.06,0.088,0.018,502,Payscale,Simulated salary analysis.
17,0.004,74654,152817,0.22,40994,1.04,0.144,0.066,755,Internal HR,Simulated salary analysis.
18,-0.016,42452,137676,0.06,23097,1.1,0.086,0.074,190,Glassdoor,Simulated salary analysis.
19,0.08,43319,114581,0.07,32772,0.95,0.136,0.101,890,Glassdoor,Simulated salary analysis.
20,0.048,73444,144616,0.09,34818,1.18,0.116,0.047,1315,Payscale,Simulated salary analysis.
21,0.084,75990,119261,0.05,40303,1.06,0.13,0.098,1180,Payscale,Simulated salary analysis.
22,0.077,48083,97698,0.04,38340,0.91,0.114,0.114,1684,Internal HR,Simulated salary analysis.
23,0.065,53359,148382,0.15,47121,1.12,0.041,0.057,404,Payscale,Simulated salary analysis.
24,-0.008,49500,96123,0.13,23728,0.88,0.128,0.117,2163,Internal HR,Simulated salary analysis.
25,0.02,79411,117879,0.06,21227,0.81,0.092,0.145,936,Internal HR,Simulated salary analysis.
26,0.01,36409,120041,0.06,27601,1.13,0.084,0.114,1053,Glassdoor,Simulated salary analysis.
27,0.066,79888,176834,0.16,27769,0.83,0.089,0.044,1534,Payscale,Simulated salary analysis.
28,0.006,45399,91732,0.0,31080,1.11,0.144,0.173,671,Payscale,Simulated salary analysis.
29,-0.012,74596,148144,0.2,19441,1.04,0.087,0.007,1189,Internal HR,Simulated salary analysis.
30,0.081,50078,131820,0.1,4846,0.9,0.132,0.184,1314,Glassdoor,Simulated salary analysis.
31,-0.014,50962,197950,0.04,40907,1.16,0.14,0.142,1227,Internal HR,Simulated salary analysis.
32,0.072,79528,135619,0.17,3609,1.17,0.13,0.059,661,Glassdoor,Simulated salary analysis.
33,0.037,31883,154451,0.17,44438,1.04,0.067,0.073,1528,Glassdoor,Simulated salary analysis.
34,0.055,41476,109779,0.08,37873,0.94,0.023,0.141,1636,Internal HR,Simulated salary analysis.
35,0.052,66532,152279,0.06,33321,1.01,0.015,0.041,1468,Glassdoor,Simulated salary analysis.
36,-0.012,76936,92898,0.14,5857,0.83,0.105,0.195,1506,Payscale,Simulated salary analysis.
37,-0.014,62615,164864,0.17,26663,1.06,0.038,0.117,267,Internal HR,Simulated salary analysis.
38,0.034,79369,108044,0.18,14299,1.13,0.078,0.029,1613,Payscale,Simulated salary analysis.
39,0.061,37038,163147,0.2,29295,0.87,0.013,0.107,154,Internal HR,Simulated salary analysis.
40,0.085,38861,128240,0.12,30014,1.1,0.078,0.137,766,Glassdoor,Simulated salary analysis.
41,0.034,51507,188633,0.2,35497,1.11,0.063,0.048,938,Glassdoor,Simulated salary analysis.
42,0.086,41584,134174,0.02,17926,0.84,0.131,0.125,1558,Payscale,Simulated salary analysis.
43,0.065,63163,103314,0.21,47581,0.99,0.129,0.199,1349,Internal HR,Simulated salary analysis.
44,-0.016,60533,123936,0.07,8054,0.84,0.084,0.071,877,Payscale,Simulated salary analysis.
45,-0.019,78752,157068,0.06,47105,0.89,0.004,0.025,1357,Glassdoor,Simulated salary analysis.
46,-0.016,52470,182552,0.01,43443,1.15,0.081,0.099,2119,Glassdoor,Simulated salary analysis.
47,0.043,72925,132565,0.04,45928,1.08,0.014,0.002,2057,Payscale,Simulated salary analysis.
48,0.023,62651,186088,0.22,37161,0.81,0.024,0.157,215,Payscale,Simulated salary analysis.
49,-0.0,79598,161434,0.07,47551,1.2,0.127,0.191,280,Payscale,Simulated salary analysis.
50,0.091,49435,136480,0.15,40075,0.95,0.074,0.13,911,Internal HR,Simulated salary analysis.
51,-0.003,54560,136354,0.09,42107,0.88,0.023,0.15,2164,Payscale,Simulated salary analysis.
52,-0.013,74275,138632,0.1,946,1.01,0.077,0.182,89,Payscale,Simulated salary analysis.
